,Notes,County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
3336,,"Bexar County, TX",48029.0,2003.0,2003.0,All other alcohol-induced causes,A9,96.0
3337,,"Bexar County, TX",48029.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,10153.0
3338,,"Blanco County, TX",48031.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,101.0
3339,,"Bosque County, TX",48035.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,253.0
3340,,"Bowie County, TX",48037.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,998.0
3341,,"Brazoria County, TX",48039.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
3342,,"Brazoria County, TX",48039.0,2003.0,2003.0,All other alcohol-induced causes,A9,12.0
3343,,"Brazoria County, TX",48039.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1745.0
3344,,"Brazos County, TX",48041.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,833.0
3345,,"Brewster County, TX",48043.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,75.0
3346,,"Briscoe County, TX",48045.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,21.0
3347,,"Brooks County, TX",48047.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,81.0
3348,,"Brown County, TX",48049.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,490.0
3349,,"Burleson County, TX",48051.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,178.0
3350,,"Burnet County, TX",48053.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,401.0
3351,,"Caldwell County, TX",48055.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,273.0
3352,,"Calhoun County, TX",48057.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,178.0
3353,,"Callahan County, TX",48059.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,130.0
3354,,"Cameron County, TX",48061.0,2003.0,2003.0,All other alcohol-induced causes,A9,14.0
3355,,"Cameron County, TX",48061.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,2022.0
3356,,"Camp County, TX",48063.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,131.0
3357,,"Carson County, TX",48065.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,63.0
3358,,"Cass County, TX",48067.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,398.0
3359,,"Castro County, TX",48069.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,64.0
3360,,"Chambers County, TX",48071.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,199.0
3361,,"Cherokee County, TX",48073.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,522.0
3362,,"Childress County, TX",48075.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,66.0
3363,,"Clay County, TX",48077.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,88.0
3364,,"Cochran County, TX",48079.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,36.0
3365,,"Coke County, TX",48081.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,64.0
3366,,"Coleman County, TX",48083.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,167.0
3367,,"Collin County, TX",48085.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
3368,,"Collin County, TX",48085.0,2003.0,2003.0,All other alcohol-induced causes,A9,12.0
3369,,"Collin County, TX",48085.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,2055.0
3370,,"Collingsworth County, TX",48087.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,51.0
3371,,"Colorado County, TX",48089.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,251.0
3372,,"Comal County, TX",48091.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
3373,,"Comal County, TX",48091.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,685.0
3374,,"Comanche County, TX",48093.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,193.0
3375,,"Concho County, TX",48095.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,28.0
3376,,"Cooke County, TX",48097.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,394.0
3377,,"Coryell County, TX",48099.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,310.0
3378,,"Cottle County, TX",48101.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,17.0
3379,,"Crane County, TX",48103.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,49.0
3380,,"Crockett County, TX",48105.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,33.0
3381,,"Crosby County, TX",48107.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,74.0
3382,,"Culberson County, TX",48109.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,17.0
3383,,"Dallam County, TX",48111.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,53.0
3384,,"Dallas County, TX",48113.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,124.0
3385,,"Dallas County, TX",48113.0,2003.0,2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,36.0
3386,,"Dallas County, TX",48113.0,2003.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21.0
3387,,"Dallas County, TX",48113.0,2003.0,2003.0,All other drug-induced causes,D9,18.0
3388,,"Dallas County, TX",48113.0,2003.0,2003.0,All other alcohol-induced causes,A9,117.0
3389,,"Dallas County, TX",48113.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,13565.0
3390,,"Dawson County, TX",48115.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,146.0
3391,,"Deaf Smith County, TX",48117.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,153.0
3392,,"Delta County, TX",48119.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,89.0
3393,,"Denton County, TX",48121.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
3394,,"Denton County, TX",48121.0,2003.0,2003.0,All other alcohol-induced causes,A9,12.0
3395,,"Denton County, TX",48121.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1915.0
3396,,"DeWitt County, TX",48123.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,263.0
3397,,"Dickens County, TX",48125.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,49.0
3398,,"Dimmit County, TX",48127.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,74.0
3399,,"Donley County, TX",48129.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,38.0
3400,,"Duval County, TX",48131.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,134.0
3401,,"Eastland County, TX",48133.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,244.0
3402,,"Ector County, TX",48135.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
3403,,"Ector County, TX",48135.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1066.0
3404,,"Edwards County, TX",48137.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,23.0
3405,,"Ellis County, TX",48139.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,878.0
3406,,"El Paso County, TX",48141.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,52.0
3407,,"El Paso County, TX",48141.0,2003.0,2003.0,All other alcohol-induced causes,A9,59.0
3408,,"El Paso County, TX",48141.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,4259.0
3409,,"Erath County, TX",48143.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,304.0
3410,,"Falls County, TX",48145.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,224.0
3411,,"Fannin County, TX",48147.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,412.0
3412,,"Fayette County, TX",48149.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,316.0
3413,,"Fisher County, TX",48151.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,60.0
3414,,"Floyd County, TX",48153.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,67.0
3415,,"Foard County, TX",48155.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,30.0
3416,,"Fort Bend County, TX",48157.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
3417,,"Fort Bend County, TX",48157.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1616.0
3418,,"Franklin County, TX",48159.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,124.0
3419,,"Freestone County, TX",48161.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,215.0
3420,,"Frio County, TX",48163.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,115.0
3421,,"Gaines County, TX",48165.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,107.0
3422,,"Galveston County, TX",48167.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
3423,,"Galveston County, TX",48167.0,2003.0,2003.0,All other alcohol-induced causes,A9,13.0
3424,,"Galveston County, TX",48167.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,2215.0
3425,,"Garza County, TX",48169.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,54.0
3426,,"Gillespie County, TX",48171.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,275.0
3427,,"Goliad County, TX",48175.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,75.0
3428,,"Gonzales County, TX",48177.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,176.0
3429,,"Gray County, TX",48179.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,253.0
3430,,"Grayson County, TX",48181.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1184.0
3431,,"Gregg County, TX",48183.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1163.0
3432,,"Grimes County, TX",48185.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,222.0
3433,,"Guadalupe County, TX",48187.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,701.0
3434,,"Hale County, TX",48189.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,296.0
3435,,"Hall County, TX",48191.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,60.0
3436,,"Hamilton County, TX",48193.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,136.0
3437,,"Hansford County, TX",48195.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,63.0
3438,,"Hardeman County, TX",48197.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,70.0
3439,,"Hardin County, TX",48199.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,455.0
3440,,"Harris County, TX",48201.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,244.0
3441,,"Harris County, TX",48201.0,2003.0,2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,69.0
3442,,"Harris County, TX",48201.0,2003.0,2003.0,All other drug-induced causes,D9,24.0
3443,,"Harris County, TX",48201.0,2003.0,2003.0,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,13.0
3444,,"Harris County, TX",48201.0,2003.0,2003.0,All other alcohol-induced causes,A9,178.0
3445,,"Harris County, TX",48201.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,20146.0
3446,,"Harrison County, TX",48203.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,575.0
3447,,"Hartley County, TX",48205.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,33.0
3448,,"Haskell County, TX",48207.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,93.0
3449,,"Hays County, TX",48209.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,568.0
3450,,"Hemphill County, TX",48211.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,22.0
3451,,"Henderson County, TX",48213.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,888.0
3452,,"Hidalgo County, TX",48215.0,2003.0,2003.0,All other alcohol-induced causes,A9,17.0
3453,,"Hidalgo County, TX",48215.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,3058.0
3454,,"Hill County, TX",48217.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,426.0
3455,,"Hockley County, TX",48219.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,219.0
3456,,"Hood County, TX",48221.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,444.0
3457,,"Hopkins County, TX",48223.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,415.0
3458,,"Houston County, TX",48225.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,305.0
3459,,"Howard County, TX",48227.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,346.0
3460,,"Hudspeth County, TX",48229.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,16.0
3461,,"Hunt County, TX",48231.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,747.0
3462,,"Hutchinson County, TX",48233.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,234.0
3463,,"Irion County, TX",48235.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,15.0
3464,,"Jack County, TX",48237.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,97.0
3465,,"Jackson County, TX",48239.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,159.0
3466,,"Jasper County, TX",48241.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,395.0
3467,,"Jeff Davis County, TX",48243.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,12.0
3468,,"Jefferson County, TX",48245.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
3469,,"Jefferson County, TX",48245.0,2003.0,2003.0,All other alcohol-induced causes,A9,11.0
3470,,"Jefferson County, TX",48245.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,2557.0
3471,,"Jim Hogg County, TX",48247.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,40.0
3472,,"Jim Wells County, TX",48249.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,341.0
3473,,"Johnson County, TX",48251.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1075.0
3474,,"Jones County, TX",48253.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,190.0
3475,,"Karnes County, TX",48255.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,143.0
3476,,"Kaufman County, TX",48257.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,728.0
3477,,"Kendall County, TX",48259.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,257.0
3478,,"Kerr County, TX",48265.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,619.0
3479,,"Kimble County, TX",48267.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,54.0
3480,,"Kinney County, TX",48271.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,34.0
3481,,"Kleberg County, TX",48273.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,196.0
3482,,"Knox County, TX",48275.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,59.0
3483,,"Lamar County, TX",48277.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,547.0
3484,,"Lamb County, TX",48279.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,203.0
3485,,"Lampasas County, TX",48281.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,184.0
3486,,"La Salle County, TX",48283.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,29.0
3487,,"Lavaca County, TX",48285.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,268.0
3488,,"Lee County, TX",48287.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,144.0
3489,,"Leon County, TX",48289.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,194.0
3490,,"Liberty County, TX",48291.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,693.0
3491,,"Limestone County, TX",48293.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,264.0
3492,,"Lipscomb County, TX",48295.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,36.0
3493,,"Live Oak County, TX",48297.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,88.0
3494,,"Llano County, TX",48299.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,233.0
3495,,"Lubbock County, TX",48303.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
3496,,"Lubbock County, TX",48303.0,2003.0,2003.0,All other alcohol-induced causes,A9,14.0
3497,,"Lubbock County, TX",48303.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,2022.0
3498,,"Lynn County, TX",48305.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,75.0
3499,,"McCulloch County, TX",48307.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,119.0
3500,,"McLennan County, TX",48309.0,2003.0,2003.0,All other alcohol-induced causes,A9,13.0
3501,,"McLennan County, TX",48309.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1992.0
3502,,"Madison County, TX",48313.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,144.0
3503,,"Marion County, TX",48315.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,149.0
3504,,"Martin County, TX",48317.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,55.0
3505,,"Mason County, TX",48319.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,46.0
3506,,"Matagorda County, TX",48321.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,389.0
3507,,"Maverick County, TX",48323.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,248.0
3508,,"Medina County, TX",48325.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,319.0
3509,,"Menard County, TX",48327.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,40.0
3510,,"Midland County, TX",48329.0,2003.0,2003.0,All other alcohol-induced causes,A9,15.0
3511,,"Midland County, TX",48329.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,966.0
3512,,"Milam County, TX",48331.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,278.0
3513,,"Mills County, TX",48333.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,78.0
3514,,"Mitchell County, TX",48335.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,120.0
3515,,"Montague County, TX",48337.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,278.0
3516,,"Montgomery County, TX",48339.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0
3517,,"Montgomery County, TX",48339.0,2003.0,2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0
3518,,"Montgomery County, TX",48339.0,2003.0,2003.0,All other alcohol-induced causes,A9,18.0
3519,,"Montgomery County, TX",48339.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,2184.0
3520,,"Moore County, TX",48341.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,128.0
3521,,"Morris County, TX",48343.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,183.0
3522,,"Motley County, TX",48345.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,18.0
3523,,"Nacogdoches County, TX",48347.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,533.0
3524,,"Navarro County, TX",48349.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,490.0
3525,,"Newton County, TX",48351.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,147.0
3526,,"Nolan County, TX",48353.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,195.0
3527,,"Nueces County, TX",48355.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,37.0
3528,,"Nueces County, TX",48355.0,2003.0,2003.0,All other alcohol-induced causes,A9,42.0
3529,,"Nueces County, TX",48355.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,2439.0
3530,,"Ochiltree County, TX",48357.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,78.0
3531,,"Oldham County, TX",48359.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,14.0
3532,,"Orange County, TX",48361.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
3533,,"Orange County, TX",48361.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,885.0
3534,,"Palo Pinto County, TX",48363.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,329.0
3535,,"Panola County, TX",48365.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,234.0
3536,,"Parker County, TX",48367.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
3537,,"Parker County, TX",48367.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,728.0
3538,,"Parmer County, TX",48369.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,85.0
3539,,"Pecos County, TX",48371.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,144.0
3540,,"Polk County, TX",48373.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,551.0
3541,,"Potter County, TX",48375.0,2003.0,2003.0,All other alcohol-induced causes,A9,12.0
3542,,"Potter County, TX",48375.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1158.0
3543,,"Presidio County, TX",48377.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,47.0
3544,,"Rains County, TX",48379.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,104.0
3545,,"Randall County, TX",48381.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,812.0
3546,,"Reagan County, TX",48383.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,32.0
3547,,"Real County, TX",48385.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,46.0
3548,,"Red River County, TX",48387.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,210.0
3549,,"Reeves County, TX",48389.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,113.0
3550,,"Refugio County, TX",48391.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,100.0
3551,,"Roberts County, TX",48393.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,15.0
3552,,"Robertson County, TX",48395.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,186.0
3553,,"Rockwall County, TX",48397.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,322.0
3554,,"Runnels County, TX",48399.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,164.0
3555,,"Rusk County, TX",48401.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,539.0
3556,,"Sabine County, TX",48403.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,152.0
3557,,"San Augustine County, TX",48405.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,124.0
3558,,"San Jacinto County, TX",48407.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,220.0
3559,,"San Patricio County, TX",48409.0,2003.0,2003.0,All other alcohol-induced causes,A9,12.0
3560,,"San Patricio County, TX",48409.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,512.0
3561,,"San Saba County, TX",48411.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,87.0
3562,,"Schleicher County, TX",48413.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,46.0
3563,,"Scurry County, TX",48415.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,163.0
3564,,"Shackelford County, TX",48417.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,45.0
3565,,"Shelby County, TX",48419.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,315.0
3566,,"Sherman County, TX",48421.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,36.0
3567,,"Smith County, TX",48423.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1739.0
3568,,"Somervell County, TX",48425.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,71.0
3569,,"Starr County, TX",48427.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,291.0
3570,,"Stephens County, TX",48429.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,99.0
3571,,"Sterling County, TX",48431.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,12.0
3572,,"Stonewall County, TX",48433.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,29.0
3573,,"Sutton County, TX",48435.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,41.0
3574,,"Swisher County, TX",48437.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,85.0
3575,,"Tarrant County, TX",48439.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,112.0
3576,,"Tarrant County, TX",48439.0,2003.0,2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0
3577,,"Tarrant County, TX",48439.0,2003.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11.0
3578,,"Tarrant County, TX",48439.0,2003.0,2003.0,All other drug-induced causes,D9,11.0
3579,,"Tarrant County, TX",48439.0,2003.0,2003.0,All other alcohol-induced causes,A9,65.0
3580,,"Tarrant County, TX",48439.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,9309.0
3581,,"Taylor County, TX",48441.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
